,school_id,mean,intervention,remoteness_index,cct_percentage,student_classroom_ratio,student_teacher_ratio,pwd_total,female_percentage,male_percentage,pca
4591,109452,12.82,1,0.007668432,0.247058824,0.004730369,0.030357143,0,0.413071895,0.237254902,0.000999999
4592,109453,15.602,1,0.008412803,0.012062726,0.005665703,0.032896825,0,0.37314033,0.299758745,0.001000055
4593,109454,12.386,1,0.010105195,0.406143345,0.003804701,0.030520833,0,0.345847554,0.305460751,0.000999999
4594,109455,13.464,1,0.009855901,0.467576792,0.003804701,0.034880952,0,0.36632537,0.303754266,0.000999999
4595,109456,14.576,1,0.005154422,0.067235859,0.005793929,0.036317829,0,0.373176805,0.294023479,0.001000055
4596,109457,14.676,1,0.006278002,0.082693444,0.00536199,0.038130631,0,0.361488482,0.299468399,0.001000055
4597,109458,14.062,1,0.009950703,0.010695187,0.003237675,0.025972222,0,0.347593583,0.327540107,0.000999999
4598,109459,13.554,1,0.006278002,0.064547677,0.006808973,0.035503472,0,0.374246129,0.295354523,0.001000055
4599,109460,14.138,1,0.007527984,0.361861862,0.004551699,0.0346875,0,0.359359359,0.301051051,0.000999999
4600,109461,17.132,0,0.011175405,0.00091954,0.010086816,0.034855769,0,0.369042146,0.291724138,0.001000055
4601,109462,15.722,1,0.010105195,0.003426334,0.008039098,0.033382353,0,0.350465002,0.30372002,0.001000055
4602,109463,16.714,1,0.007310291,0.05086072,0.012765575,0.03328125,0,0.362023996,0.300078247,0.000999999
4603,109464,15.356,1,0.018749737,0.432624114,0.003661862,0.016785714,0,0.345153664,0.322695035,0.000999999
4604,109465,17.376,0,0.009417003,0.082142857,0.007271783,0.033333333,0,0.361904762,0.308928571,0.000999999
4605,109466,16.934,0,0.009395935,0.005894413,0.01235823,0.03422807,0,0.372116863,0.293439262,0.001000055
4606,109467,15.55,1,0.011853766,0.002109705,0.00746066,0.036744186,0,0.36814346,0.28850211,0.001000919
4607,109468,22.142,0,0.013202062,0.2375,0.001484037,0.016666667,0,0.375,0.26875,0.000999999
4608,109469,15.174,1,0.008012528,0.024782235,0.01058434,0.036915761,0.028028028,0.361918783,0.305852043,0.000999999
4609,109470,13.87,1,0.011671184,0.014534884,0.00638136,0.038222222,0,0.347868217,0.32122093,0.000999999
4610,109471,15.038,1,0.013216107,0.018907563,0.011589404,0.039666667,0,0.369747899,0.302871148,0.001000055
4611,109472,13.358,1,0.021685089,0.150259067,0.00626542,0.032166667,0,0.362694301,0.321243523,0.000999999
4612,109474,12.48,1,0.023461749,0.352459016,0.00475263,0.0305,0,0.395264117,0.273224044,0.000999999
4613,109475,13.52,1,0.016727293,0.31300813,0.004563415,0.029285714,0,0.363143631,0.306910569,0.000999999
4614,109476,15.282,1,0.007310291,0.002056555,0.006314115,0.033078231,0,0.388346187,0.289203085,0.001000055
4615,109477,15.512,1,0.012556003,0.027296588,0.011244112,0.037797619,0,0.371828521,0.304724409,0.001000055
4616,109478,15.894,1,0.010449291,0.004142502,0.008588104,0.039061489,0,0.353217343,0.306441591,0.001000055
4617,109479,17.286,0,0.008012528,0.017062767,0.01065446,0.040820896,0,0.357302458,0.295094455,0.001000055
4618,109481,18.038,0,0.007749189,0.001954397,0.016610397,0.034572072,0,0.383061889,0.293811075,0.001000055
4619,109482,16.346,1,0.006980239,0.005617978,0.008089858,0.035804598,0,0.407704655,0.294141252,0.001000055
4620,109485,16.472,1,0.004388983,0.008234218,0.014192962,0.036433333,0,0.41842025,0.277218664,0.001000055
