,school_id,percent_grad_above,percent_female,total_repeaters,sc_ratio,st_ratio,sComp_ratio,perc_rep,WORKDAYS_PR,WORKDAYS_UPR,SCHHRSTCH_PR,SCHHRSCHILD_UPR,SCHHRSTCH_UPR,APPROACHBYROAD,CCE_YN,PCR_MAINTAINED,PCR_SHARED,WSEC25P_ENROLLED,SMC_YN,SMCNOMLOCAL_M,SMCNOMLOCAL_F,TXTBKRECD_YN,SMCMEM,SMSPARENTS,pass_percent,intervention
2105,27281100814,100,20,0,0,21.2,53,0,0,233,0,5.3,6.3,1,1,1,1,0,0,0,0,0,0,0,84.61,1
2106,27271200524,0,0,0,22.4,8,11.2,0,234,234,5,5,5,1,1,1,1,0,1,0,0,1,8,0,0,1
2107,27070207102,100,40,1,0,16.6,83,1.204819277,0,233,0,6,6.3,1,1,1,1,0,1,2,0,1,11,1,80.64,1
2108,27080309502,100,25,0,0,16.5,33,0,0,236,0,6,7,1,1,1,1,0,1,1,1,1,13,4,69.56,1
2109,27340201302,87.5,25,0,299,37.375,149.5,0,234,234,7,6,7,1,1,1,1,0,1,1,0,1,15,10,95,0
2110,27070800202,100,0,0,0,9.666666667,14.5,0,0,233,0,6.3,7,1,1,1,1,0,1,0,1,1,11,7,100,0
2111,27140509502,100,20,0,0,34.2,34.2,0,0,235,0,5.3,5.3,1,1,1,1,0,0,0,0,1,0,0,87.34,1
2112,27320918702,100,33.33333333,0,0,35.66666667,107,0,0,237,0,6.3,6.3,1,1,1,1,0,1,2,0,1,17,2,100,0
2113,27010106403,0,0,0,49.66666667,42.57142857,99.33333333,0,220,220,6.3,5.3,6.3,1,1,1,1,0,1,1,1,1,15,7,100,0
2114,27010106403,0,0,0,49.66666667,42.57142857,99.33333333,0,220,220,6.3,5.3,6.3,1,1,1,1,0,1,1,1,1,15,7,100,0
2115,27180806902,90,10,0,214,21.4,16.46153846,0,239,239,6.3,5.35,6.3,1,1,1,1,0,1,0,0,1,11,4,100,0
2116,27010501004,82.35294118,23.52941176,0,130.25,30.64705882,86.83333333,0,220,220,6,5.3,6,1,1,1,1,0,1,2,1,1,18,7,30.25,1
2117,27010501004,82.35294118,23.52941176,0,130.25,30.64705882,86.83333333,0,220,220,6,5.3,6,1,1,1,1,0,1,2,1,1,18,7,30.25,1
2118,27040105103,88.23529412,11.76470588,0,89.55555556,47.41176471,44.77777778,0,230,230,6,5,6,1,1,1,1,0,2,0,0,1,0,0,88.69,1
2119,27090711803,80,40,2,270.5,27.05,45.08333333,0.369685767,236,236,5.3,5.3,5.3,1,1,1,1,0,1,2,1,1,18,12,82.14,1
2120,27230700264,90.90909091,100,0,388.25,47.06060606,77.65,0,220,220,6.3,6.3,6.3,1,1,1,1,0,1,0,0,1,0,0,100,0
2121,27080407802,85.71428571,14.28571429,12,0,11.71428571,41,14.63414634,0,230,0,7,7.3,1,1,1,1,0,1,1,0,1,13,8,76.66,1
2122,27320511401,92.85714286,0,0,504,36,50.4,0,238,238,7.3,6.3,7.3,1,1,1,1,0,1,0,1,1,18,10,90.29,1
2123,27211606702,0,0,0,0,7.714285714,5.4,0,0,220,0,6,6,1,1,1,1,0,1,0,0,0,0,0,100,0
2124,27290510104,88.23529412,5.882352941,0,58.75,27.64705882,235,0,236,236,5.3,5.3,5.3,1,1,1,1,0,1,0,0,1,15,14,68.75,1
2125,27060509803,85,5,0,1007,50.35,83.91666667,0,232,232,6.3,5.3,6.3,1,1,1,1,0,1,0,0,1,6,1,93.12,0
2126,27050211563,95.83333333,54.16666667,0,56.41666667,28.20833333,67.7,0,230,230,6.3,5.4,6.3,1,1,1,1,0,2,0,0,2,9,2,100,0
2127,27270100102,92.30769231,7.692307692,0,467,35.92307692,233.5,0,238,238,6.3,5.3,6.3,1,1,1,1,0,1,0,1,1,13,3,92.77,0
2128,27230700220,96.2962963,29.62962963,0,235,26.11111111,141,0,220,220,6,5.3,6,1,1,1,1,0,1,4,2,1,16,10,81.41,1
2129,27270700202,71.42857143,14.28571429,0,0,27.28571429,63.66666667,0,238,238,6.3,5.3,6.3,1,1,1,1,0,1,1,1,1,11,2,95.23,0
2130,27341305206,96.42857143,67.85714286,0,450.3333333,48.25,90.06666667,0,230,230,6.3,5.3,6.3,1,1,1,1,0,1,1,0,1,16,12,100,0
2131,27341206202,100,0,0,0,15,15,0,0,240,0,6.1,7.1,1,1,1,1,0,1,0,1,1,12,5,90,1
2132,27211402419,100,64.28571429,0,0,23.21428571,14.77272727,0,0,220,0,5.3,6,1,1,1,1,0,1,0,0,1,14,7,84.95,1
2133,27090304002,100,100,0,63,31.5,26.25,0,216,216,5.45,5.3,5.45,1,1,1,1,7,0,0,0,0,0,0,100,0
2134,27031201746,100,50,0,0,20,3.333333333,0,0,220,0,5.3,6.15,1,1,1,1,0,2,0,0,2,0,0,100,0
2135,27031201746,100,50,0,0,20,3.333333333,0,0,220,0,5.3,6.15,1,1,1,1,0,2,0,0,2,0,0,100,0
2136,27201700114,97.72727273,59.09090909,0,89.84210526,38.79545455,94.83333333,0,236,236,5.3,5.3,5.3,1,1,1,1,36,0,0,0,1,0,0,100,0
2137,27201700114,97.72727273,59.09090909,0,89.84210526,38.79545455,94.83333333,0,236,236,5.3,5.3,5.3,1,1,1,1,36,0,0,0,1,0,0,100,0
2138,27340304409,100,28.57142857,0,0,37.14285714,13,0,222,232,6.3,5.3,6.3,1,1,1,1,0,2,0,0,2,0,0,98.91,0
